Restaurant Name,Original food Item
Coffee Time,Garden Vegetable Sandwich Chicken Samosa Apple Fruit Sticks Chocolate Chip Cookie Pecan Tarts Roast Beef Deluxe Sandwich Almond Hazelnut Biscotti White Coconut Cake Donut Coffee Syrup Banana Filled Yeast Donut Cinnamon Buns Donut Hot Chocolate Creamy Garden Broccoli Soup Raspberry Fruit Sticks North Atlantic Clam Chowder Chicken with Wild Rice Soup Cream of Mushroom Soup Egg Cheese Brekwich Bacon Poppy Seed Bagel Raised Chocolate Yeast Donut Herb Garlic Cream Cheese Coffee Chocolate Glaze Cake Donut Apple Turnover Plain Bagel Italian Wedding Soup Carrot Muffin Honey Glaze Yeast Donut English Toffee Steameez Chocolate Chip Muffin Light Cream Cheese Apple Fritter Donut Bagel with Processed Cheese Slice Lemon Wildberry Biscotti Boston Cream Donut Rice Krispy Square
HoSan,Roasted Seaweed Snack Oriental Style Noodle Japanese Style Buckwhet Noodle Soba Noodle
Weight Watchers,Muffins Multigrain Flat Rolls Original Bagels Salted Caramel Brownie Chocolate Chip Cookie Vanilla Ice Cream Sandwiches Natural Reduced Fat Swiss 13 Slices Cheese Blueberry Muffin English Toffee Squares Candies Triple Chocolate Brownie Bliss Double Chocolate Muffin Peanut Butter Brownie Bliss Frosted Shredded Wheat Cereal Peanut Butter Caramel Ice Cream Candy Bar Mint Patties Candies Peanut Butter Caramel Ice Cream Candy Bars Salted Caramel Brownie Bliss Divine Triple Chocolate Ice Cream Bars Multigrain Bread Three Cheese Ziti Marinara Smart Ones Strawberry Swirl Greek Frozen Yogurt
Natural Sea,Solid White Albacore Tuna Chunk Light Yellowfin Tuna Red Sockeye Salmon Chunk Light Tongol Tuna Wild Caught Solid White Albacore Tuna Chopped Clams Premium Cod Fillets Wild Premium Alaskan Red Sockeye Salmon Premium Cod Fish Sticks Premium Cod Fish Fillets Wild Caught Tuna Solid White Albacore Packed in Water Chunk Light Tuna Wild Premium Alaskan Pink Salmon Solid White Albacore Tuna Wild Alaska Pollock Fish Nuggets Chunk Light Tuna
World of Beer,Caesar Salad with Grilled Flat Iron Steak Steak Fries BYO Burger with Garlic Aioli Spring Greens and Kale Salad with Grilled Flat Iron Steak Black and Tan Sliders Spring Greens and Kale Salad with Grilled Chicken Breast Avocado Toast with Eggs Any Style Huevos Rancheros Warm Donut Bites BYO Burger with Chipotle Mayo Sauce Cali Bowl with Beer Battered Shrimp Grilled Cheese Sandwich with Tater Tots WOBSTAR Breakfast with Bacon Avocado Toast with Bacon 20 with Hot Sauce Honey BBQ Sauce WOB Chicken Wings 3 Piece Mahi Tacos Sweet Cream Pancakes 5 piece with Buffalo Hot Sauce WOB Chicken Wings Fried Shrimp Entree Half Rack Baby Back Ribs Salted Caramel Cookie Skillet Full Rack Baby Back Ribs BYO Burger with Pepper Jack Cheese Southern Fried Pickles BBQ Bacon Burger with Burger Patty Black and Tan Onion Rings 20 WOB Chicken Wings House Salad with Grilled Flat Iron Steak Boneless Wings with Blue Cheese Dressing Sweet Cream Pancakes with Add Fruit Topping Boneless Wings with Buffalo Hot Sauce Spring Greens and Kale Salad with IPA Glazed Salmon Sweet Cream Waffles Cali Bowl with Blackened Steak Crispy Chicken Sliders 10 piece with Buffalo Mild and Medium Sauce WOB Chicken Wings German Pretzel with WOB Beer Cheese German Pretzel Cali Bowl with Blackened Ahi Tuna 10 piece with Dry Rub WOB Chicken Wings Avocado Toast German Pretzel with WOB House Made Mustard Brunch Burger with Burger Patty House Salad IPA Salmon Huevos Rancheros with Tater Tots 2 Piece Mahi Tacos
Chick-fil-A,8 oz Catering Honey Mustard Sauce Cobb Salad with Nuggets Small ChickfilA Diet Lemonade Protein Only Bacon Small Coffee Greek Yogurt Parfait with Granola Sweet Spicy Sriracha Sauce Grilled Chicken Bundle Per Meal Hash Brown Scramble Bowl with Nuggets Spicy Chicken Sandwich Salad Topping Chili Lime Pepitas Egg Cheese Bagel Chicken Small Chocolate Milkshake 6 Count Kids Nuggets Meal Small FreshlyBrewed Iced Tea Sweetened Spicy Deluxe Sandwich with Colby Jack Grilled Chicken Club with Colby Jack Small Mango Passion Tea Lemonade Small Frosted Lemonade with Diet Lemonade Cobb Salad without Chicken Light Balsamic Vinaigrette Dressing Large FreshlyBrewed Iced Tea Sweetened Large Spicy Chilled Grilled Chicken Sub Sandwich Tray Per Half Sandwich Large Vanilla Milkshake Fat Free Honey Mustard Dressing Gallon Catering Mango Passion Tea Lemonade Large FreshlyBrewed Iced Tea Unsweetened 1 Count Kids ChickNStrips Meal Medium CocaCola Hash Brown Scramble Bowl with Sausage Egg Cheese Biscuit Bacon Small Dr Pepper Small Side ChickfilA Waffle Potato Fries Medium Dr Pepper Garden Herb Ranch Dressing Small CocaCola Large Hot ChickNStrips Tray Per ChickNStrip Large Strawberry Milkshake Spicy Deluxe Sandwich with American Small Chilled ChickfilA Nuggets Tray Per Nugget 4 Count ChickNStrips Protein Only Grilled Breakfast Filet Small Cookies Cream Milkshake
Tai Pei,Pork Potstickers Orange Chicken Edamame General Tsos Chicken Mini Vegetable Spring Rolls Japanese Style Chicken Meatballs Combination Fried Rice Sweet Sour Chicken White Meat Garlic Shrimp Seasoned Chicken for Lettuce Wraps Chicken Egg Rolls Battered Green Beans Sriracha Chicken Kung Pao Chicken General Tsos Spicy Chicken Teriyaki Chicken Beef Broccoli Firecracker Chicken Chicken Chow Mein Pepper Beef with Steamed Rice Chicken Fried Rice Spicy Chili Chicken Dumplings Sweet Sour Chicken Chicken Potstickers Spicy Chicken Noodles Mini Chicken Spring Rolls Chicken Burrito Mini Vegetable Spring Rolls Mini Chicken Potstickers Pork Potstickers Shrimp Fried Rice
Port of Subs,Top Deck Meat Cheese Champion 2025 Guests Classic Sub 18 8 inch Medium Classic Sub 5 24 inch XLarge Egg and Cheese 5 inch Small Bacon Classic Sub 3 8 inch Medium Classic Sub 17 8 inch Medium Egg and Cheese 5 inch Small Smoked Ham Garden Salad 1520 Guests Chef Salad Grilled Chicken Teriyaki Melt Flatbread Classic Sub 12 Salad Classic Sub 6 Salad Egg and Cheese 8 inch Medium Turkey Sausage Classic Sub 1 Salad Turkey Bacon Ranch Wrap Classic Sub 8 Flatbread Meatball Marinara Wrap Classic Sub 2 8 inch Medium Classic Sub 12 Flatbread Classic Sub 3 Lettuce Wrap Classic Sub 4 12 inch Large Classic Sub 11 24 inch XLarge Classic Sub 11 Lettuce Wrap Classic Sub 8 8 inch Medium Pinwheel Tray Classic Sub 12 24 inch XLarge Vegetable Garden Splendor 1520 Guests Classic Sub 9 5 inch Small Classic Sub 1 8 inch Medium Pastrami Melt 5 inch Small Salad Relish Supreme 2025 Guests Classic Sub 10 Flatbread White Chocolate Macadamia Nut Cookie Ultimate BLT Flatbread New York Steak Melt 12 inch Large Grilled Chicken Melt 8 inch Medium Classic Sub 9 12 inch Large Classic Sub 11 8 inch Medium Classic Sub 5 8 inch Medium Top Deck Meat Cheese Champion 1520 Guests Classic Sub 2 Salad Egg and Cheese Flatbread Smoked Ham Grilled Chicken Buffalo Melt Wrap
YoCream,Plain Very Strawberry Pistachio Gelato Silk Almondmilk Chocolate Creamy Limoncello Gelato Graham Cracker Coffee Original Tart Pomegranate Raspberry Berry Acai Lite Chocolate Ice Cream Pecan Praline Blueberry Hawaiian Pineapple Strawberry Lemonade Chocolate Caramel Turtle Key Lime Chocolate Eggnog Toasted Marshmallow Dulce De Leche Caramel Watermelon Orange Splash Red Velvet Cake Raspberry Lime Mojito Cappuccino Strawberry Peanut Butter Tiramisu Gelato Chocolate Gelato Irish Cream Chocolate Fudge Salted Caramel Pretzel Fudge Brownie Batter Strawberry Shortcake Yellow Cake Batter Peppermint Stick Rootbeer Float Vanilla Bean Gelato
Blimpie,28 oz Sprite Zero 28 oz Mtn Dew Code Red 16 oz Lipton Brewed Iced Tea Green Tea with Citrus Large Glutenfree Bread 12 oz Gold Peak Premium Unsweetened Tea 28 oz AW Root Beer 16 oz CocaCola 21 oz Country Time Lemonade 12 oz Mtn Dew Sangrita Blast 12 oz Seagrams Tonic Water Frosted Sugar Cookie 12 oz Mello Yello 21 oz Gatorade LemonLime 28 oz Lipton Brewed Iced Tea Unsweetened 21 oz Crush Strawberry Soda 21 oz Diet Calebs Kola 21 oz Gold Peak Sweetened Black Tea 12 oz Sunkist Cherry Limeade Soda 21 oz Crush Orange Soda 16 oz Minute Maid Limeade 28 oz IBC Root Beer 12 oz Sobe Lifewater Yumberry Pomegranate 28 oz Fanta Grape 21 oz Fanta Strawberry 12 oz Lipton Brewed Iced Tea Sweetened 12 oz Mtn Dew 28 oz Mtn Dew Game Fuel Citrus Cherry 21 oz Fanta KiwiStrawberry 12 oz Gold Peak Raspberry Tea 28 oz Vernors Ginger Soda 12 oz HiC Poppin Pink Lemonade 28 oz Fuze Raspberry Tea 21 oz Diet 7UP 21 oz Sun Drop Citrus Soda 21 oz Tropicana Twister Soda Orange 28 oz Brisk Mango Iced Tea 12 oz Barqs Caffine Free Root Beer 28 oz Fruitopia Strawberry Passion Fruit Awareness Egg Cheese Croissant with Bacon 21 oz HiC Flashin Fruit Punch Large without yogurt Fruit Tray 12 oz Mug Root Beer made with Real Sugar 21 oz Diet Rite Cola
